Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.3,,"
    Karthik Chandrasekharan, having escaped the compound is killed by Bala,the second assassin from Colombo. Jai returns to ATU, but is not authorized to see his family. Tejpal refuses to tell ...                See full summary »
",Renzil D'Silva,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,15,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.5,,"
    Rathod risks it all to get Roshan out of prison. Rathod 's daughter has an ugly showdown with her neighbors.",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,14,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.2,,"
    Jai and Roshan are captured by dangerous prison inmates after trying to escape. At ATU, Zaara discovers evidence of Jai being in Pune Central Jail.",Renzil D'Silva,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,Ashish Vidyarthi,12,
Jewels of Brandenburg,(1947),U,64 min,"
Action, Crime, Mystery            ",5.7,,"
    Johnny Vickers is a US government agent operating in London. Vickers puts a tail on the double agent Marcel Grandet, with whom he'd worked during World War II. Grandet has during this war a...                See full summary »
",Eugene Forde,Richard Travis,Micheline Cheirel,Leonard Strong,Carol Thurston,12,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.5,,"
    Dhruv decides to go ahead with the deal but with a condition. Naina agrees to help Prithvi and Aditya on an issue.",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,11,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.2,,"
    Mallick faces a lot of flak from the War Council Member as things go out of her control.",Renzil D'Silva,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,Ashish Vidyarthi,11,
Man at Large,(1941),A,70 min,"
Mystery, Thriller, War            ",6.3,,"
    Reporter Dallas Dayle and FBI agent Bob Grayson hunt an escaped Nazi.",Eugene Forde,Marjorie Weaver,George Reeves,Richard Derr,Steven Geray,11,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.1,,"
    Jai confronts Roshan and decides to go after the last tube of the virus. Naina and Prithvi meet Aditya at the hospital. The virus begins to spread in the whole city.",Karan Boolani,Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,9,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.2,,"
    Kiran sees Veer at the hotel. Bhisham and Aditya begin to show symptoms of the virus. Jai goes behind Siddharth as he escapes with Vaidehi.",Karan Boolani,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Manasi Rachh,9,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.2,,"
    Jai corners Roshan and his men in the dockyard. Roshan asks Siddharth for help. Prithvi and Naina go to console Antara.",Karan Boolani,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Manasi Rachh,9,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.3,,"
    Roshan sees Jai and Maya together and informs Haroon, who then furiously attacks her.",Renzil D'Silva,Jijy Philip,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,9,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.9,,"
    Roshan Sherchan finds it difficult to deal with Jai Singh Rathod and hopes to kill him.",Renzil D'Silva,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Surveen Chawla,9,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.6,,"
    Devyani and her father meet at the hotel while helping others. Jai continuing follows on a lead regarding Anjali Sharma. Siddharth takes help from Kiran regarding an issue.",Karan Boolani,Renzil D'Silva,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,8,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.1,,"
    A problem arises in the hotel situation. Naina asks Antara to find something for her. Jai begins to follow on a lead with Vedant.",Karan Boolani,Renzil D'Silva,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,8,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.5,,"
    Shibani and the ATU team get a location as to where the virus would be planted. Naina meets with Antara at Mane Shinde's house. Jai tries to break Balraj to reveal Roshan's location.",Karan Boolani,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Sakshi Tanwar,8,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.4,,"
    Jai tells Dhruv that he should think twice before canceling a deal with the Sherchans.",Renzil D'Silva,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,Ashish Vidyarthi,8,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.8,,"
    Shibani and Vedant arrive at ATU to analyze the situation regarding Gyan. Naina finds sensitive information regarding Devyani.",Renzil D'Silva,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,Ashish Vidyarthi,8,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.3,,"
    Jai, Haroon and Roshan reach at the new site to complete the deal of the virus. Naina warns Mane Shinde regarding his steps. Maya decides to run from the house along with her father.",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,7,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.5,,"
    Jai and Vedant follow Balraj using the tracker placed in his shoe. The situation at the hotel worsens as people start to show symptoms of the virus. Aditya confronts Devyani regarding Dhruv.",Karan Boolani,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Sakshi Tanwar,6,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.2,,"
    Jai is being interrogated by Abhilasha and Roy. Roshan divides the one tube of virus into 6 parts. Antara has a conversation with Naina.",Karan Boolani,Renzil D'Silva,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,6,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.3,,"
    Jai captures Dhruv and brings him to ATU. Roshan leaves the site and heads to Mumbai. Naina agrees on a deal with Shantaram.",Karan Boolani,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Surveen Chawla,6,
The Mirage Man,,,,"
Thriller            ",,,"
    The hunt for the anthrax killer who terrorized America in the days that followed the 9/11 attacks.",,,,,,,
The Thirst,,,,"
Action, Sci-Fi, Thriller            ",,,"
    Plot kept under wraps. Described as sci-fi action-thriller about the scarcity of water.",Boyd Holbrook,,,,,,
Nightmare Alley,(I),,,"
Drama, Mystery, Thriller            ",,,"
    An ambitious young carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.",Guillermo del Toro,Mary Steenburgen,Cate Blanchett,Bradley Cooper,Paul Anderson,,
The Marriage Pact,,,,"
Thriller            ",,,"
    A young couple discovers that the exclusive group they joined for newlyweds isn't what they thought it would be.",,,,,,,
The Last Ride of Cowboy Bob,,,,"
Thriller, Western            ",,,"
    A woman gets away with a string of bank robberies in Texas by disguising herself as a man.",Michael Showalter,,,,,,
Untitled Coast Guard Thriller,,,,"
Thriller            ",,,"
    Plot kept under wraps. Described as a behind-the-scenes look at the perilous missions of Coast Guard service men and women.",Colm McCarthy,,,,,,
Inside,(III),,,"
Thriller            ",,,"
    Plot details kept under wraps. Described as supernatural-thriller about a person trapped with mythological creatures.",,,,,,,
Artemis,(II),,,"
Action, Adventure, Crime            ",,,"
    Jazz is a porter and part-time smuggler in the lunar city of Artemis. Trying to make a little extra money, she accepts a less than legal job but ends up involved in a much bigger crime.",Phil Lord,Christopher Miller,,,,,
The State,,,,"
Action, Thriller            ",,,"
    A father desperately tries to save his imperiled son.",Agatha Ezzedine,,,,,,
The Force,,,,"
Crime, Thriller            ",,,"
    A corrupt New York cop working for the department's elite crime-fighting squad is forced to choose between his family, his fellow officers and his life.",James Mangold,Matt Damon,,,,,
Rogue Male,,,,"
Drama, Thriller            ",,,"
    A hunter's failed attempt to assassinate a dictator forces him to seek hiding back home in the rural English countryside.",Benedict Cumberbatch,,,,,,
The Ruins,,,,"
Thriller            ",,,"
    Plot kept under wraps. Described as a supernatural thriller set in India.",,,,,,,
The Big Fix,,,,"
Drama, Thriller            ",,,"
    A former police officer exposes a massive corruption scandal at FIFA.",,,,,,,
Untitled Underwater Jason Eisener Film,,,,"
Action, Horror, Thriller            ",,,"
    A diver investigates an underwater crime scene.",Jason Eisener,,,,,,
Spring Offensive,,,,"
Thriller            ",,,"
    Plot is about a female-driven political thriller.",,,,,,,
McClane,,,,"
Action, Thriller            ",,,"
    The original story to the popular film franchise, 'Die Hard'.",Len Wiseman,Bruce Willis,,,,,
Influx,(I),,,"
Sci-Fi, Thriller            ",,,"
    A scientist's discovery is stolen and he is imprisoned in Hibernity, a secret gulag that holds the greatest scientific minds on Earth.",Tim Miller,,,,,,
Untitled Matt Charman/Bank Heist Thriller,,,,"
Crime, History, Thriller            ",,,"
    Plot kept under wraps.",Matt Reeves,,,,,,
Men Who Kill,,,,"
Action, Thriller            ",,,"
    Plot kept under wraps.",,,,,,,
The Unseen,(III),,,"
Thriller            ",,,"
    A hospital cleric treats a fellow clergyman possessed with a demon spirit. Based on John Connolly's short story 'Mr. Pettinger's Daemon.'",,,,,,,
The Whale Hunter,,,,"
Thriller            ",,,"
    A thriller set in the world of Vegas casino hosts.",,,,,,,
The Asset,(I),,,"
Thriller            ",,,"
    When a rouge group of former Special Forces soldiers begin killing international informants, the U.S. recruits a former Army Ranger to stop them.",,,,,,,
Echo,(I),,,"
Thriller            ",,,"
    A C.I.A. Drone coordinator battles his psychological health while trying to decipher if his wife has been replaced.",George Clooney,,,,,,
Cyberstorm,,,,"
Thriller            ",,,"
    A disastrous snowstorm cuts off New York from the rest of the world as a man struggle to keep his family together.",,,,,,,
Boston Strong,,,,"
Drama, Thriller            ",,,"
    A bombing at the 2013 Boston Marathon sets off a massive manhunt to capture the men who carried out the attacks.",Daniel Espinosa,,,,,,
Pliage,,,,"
Action, Thriller            ",,,"
        Add a Plot
",,,,,,,
Cardiac,,,,"
Action, Thriller            ",,,"
    A father races against time to find out who stole the donated heart that was meant for his daughter's transplant surgery.",David Holder,,,,,,
Chronicle 2,,,,"
Action, Sci-Fi, Thriller            ",,,"
    A follow-up to the 2012 sci-fi thriller, ""Chronicle"".",,,,,,,
The Curiosity,,,,"
Thriller            ",,,"
    A man awakens from being frozen for 100 years.",,,,,,,
The Sword,(II),,,"
Thriller            ",,,"
        Add a Plot
",,,,,,,
Pied Piper,,,,"
Fantasy, Thriller            ",,,"
    A fugitive toy-maker on the run from a vengeful bounty hunter finds refuge in a town with a dark secret and a very serious rat problem",,,,,,,
The Last Witness,(I),,,"
Thriller            ",,,"
    A bomb attack in Boston leaves one sole survivor.",Oli Meredith,,,,,,
Random Acts of Violence,(II),,,"
Crime, Thriller            ",,,"
    A crime/thriller centered on an ex-con who plays his former gang against the FBI.",,,,,,,
Theory of Everything,,,,"
Action, Sci-Fi, Thriller            ",,,"
    A disgraced scientist travels to a parallel dimension to find his wife, whom he thought was dead. Based on the Top Cow comic book.",,,,,,,
The Silent Land,,,,"
Thriller            ",,,"
    In the French Alps around Chamonix, a young married couple is buried under a flash avalanche while skiing. Miraculously, Jake and Zoe dig their way out from under the snow-only to discover ...                See full summary »
",Charlie McDowell,,,,,,
The Holiday Club,,,,"
Action, Thriller            ",,,"
    A group of friends whose parents are international diplomats find themselves in over their heads when their reckless behavior pushes their diplomatic immunity to the limit.",Luke Greenfield,,,,,,
Hitman 2,,,,"
Action, Crime, Thriller            ",,,"
    At a low point in his life, Agent 47 endeavors to regain his spot atop of pantheon of elite assassins.",,,,,,,
Clue,,,,"
Comedy, Crime, Mystery            ",,,"
    Based on the Hasbro board game, a band of strangers frantically try to figure out who is the murderer among them.",James Bobin,Jason Bateman,Ryan Reynolds,,,,
Samba,,,,"
Thriller            ",,,"
    The mother of a Moroccan samba teacher hires an imam in an effort to cure his son's obsession with a telenovela star.",,,,,,,
Sunflower,(I),,,"
Thriller            ",,,"
    Plot unknown.",Adam Blaiklock,,,,,,
Zero-G,,,,"
Action, Sci-Fi, Thriller            ",,,"
    An unprecedented attack on American soil creates a state of zero-gravity.",,,,,,,
"Anything, Anywhere, Anytime",,,,"
Action, Thriller            ",,,"
    The adventures of daredevil cargo pilots, also known as ""freight dogs"", who are hired to haul all sorts of dangerous cargo.",,,,,,,
Ice Road Truckers,,,,"
Drama, Thriller            ",,,"
    A drama-thriller centered on truckers who haul supplies over highways made of ice.",John Moore,,,,,,
Darkling Cove,,,,"
Drama, Mystery, Thriller            ",,,"
    Upon moving to a beach town in order to heal from a traumatic event, a woman uncovers a startling crime.",Gary Fleder,,,,,,
Consume,(II),,,"
Thriller            ",,,"
    A group of thought leaders from around the world are invited to an enigmatic billionaire's retreat for what they think is the trip of a lifetime. Little do they know that they are not ...                See full summary »
",David Gelb,,,,,,
In Vitro,(I),,,"
Horror, Thriller            ",,,"
    A couple relies on in vitro fertilization to start a family, but begin to doubt the origin of their child when the woman starts acting very strangely.",,,,,,,
The Mistaken,,,,"
Thriller            ",,,"
    An American is accused of being a terrorist while on vacation with his family.",Rodney Wiseman,,,,,,
The Eighth Wonder,,,,"
Drama, Mystery, Thriller            ",,,"
    Plot unknown.",,,,,,,
Two Minutes to Midnight,,,,"
Thriller            ",,,"
    On the day his wife is kidnapped, a divorce lawyer is ordered to find her by 11:58 that night or kill himself.",Sheldon Turner,,,,,,
